id,treatment,sex,sl,bd,region,size,resid
F3_P14_88,NP,F,42.51,8.51,olf_size,4.712423642,3.539912403
F3_P14_89,NP,F,45.32,8.63,olf_size,5.870714225,5.079918276
F3_P14_90,NP,F,38.87,7.63,olf_size,5.826545184,6.680280706
F3_P14_91,NP,F,39.43,8.47,olf_size,6.275786323,11.96623993
F3_P14_93,NP,F,43.57,8.95,olf_size,5.449494451,18.36528759
F3_P14_94,NP,M,43.4,8.03,olf_size,5.017848291,8.509579917
F3_P14_95,NP,M,40.1,8.14,olf_size,3.63885658,-7.163637565
F3_P14_97,NP,F,42.45,8.69,olf_size,5.041591484,11.03344686
F3_P14_98,NP,M,40.7,8.03,olf_size,4.073862063,10.86050314
F3_P14_99,NP,M,42.33,8.82,olf_size,5.141484333,-1.634042478
F3_P14_100,NP,M,46.23,9.89,olf_size,6.378833396,-1.496244556
F3_P5_53,NP,M,33.53,6.1,olf_size,4.071504079,6.618884443
F3_P5_54,NP,F,27.91,5.39,olf_size,3.144877046,-5.401805093
F3_P5_56,NP,M,28.05,5.66,olf_size,7.737453316,44.3673644
F3_P5_58,NP,F,26.94,5.23,olf_size,5.504450072,11.19703611
F3_P5_61,NP,M,37.97,6.69,olf_size,4.395373722,-6.994159969
F3_P5_64,NP,M,26.05,5.77,olf_size,4.241383862,5.716067143
F3_P5_65,NP,M,34.8,6.8,olf_size,2.078240291,-0.497776003
F3_P5_78,NP,F,33.35,6.23,olf_size,3.030022917,-2.684552791
F3_P5_82,NP,F,32.48,6.89,olf_size,2.497387997,-4.488419924
F3_P5_84,NP,F,34.78,7.08,olf_size,3.726567895,-5.838825249
F3_P5_87,NP,F,37.86,7.47,olf_size,4.501722286,-3.853469556
F3_P5_89,NP,F,37.69,7.19,olf_size,5.032953779,6.004417284
F3_P5_91,NP,F,42.89,8.75,olf_size,6.886800966,10.66892003
F3_P5_93,NP,F,34.51,6.59,olf_size,3.13658417,-8.626419833
F3_P5_94,NP,M,34.11,6.53,olf_size,3.484837093,-2.916062488
F3_P5_95,NP,F,35.33,6.4,olf_size,3.568838017,-4.962125629
F3_P5_97,NP,M,39.55,7.08,olf_size,2.861130242,-4.871397315
F3_P5_98,NP,M,39.95,7.98,olf_size,5.190270181,11.67593994
F3_P5_99,NP,M,37.63,6.89,olf_size,2.725177563,-4.681310318
F3_P5_100,NP,M,36.41,6.41,olf_size,4.205049692,-3.966399052
F3_P6_52,NP,M,30.89,5.96,olf_size,2.889691284,-7.975334573
F3_P6_54,NP,F,30.6,6.35,olf_size,5.232281411,9.942969921
F3_P6_57,NP,M,31.22,6.51,olf_size,3.788632195,-4.172651742
F3_P6_58,NP,M,35.13,7.23,olf_size,2.346586756,-13.42504672
F3_P6_64,NP,M,44.26,9.49,olf_size,3.966581104,6.878736633
F3_P6_69,NP,F,37.53,7.06,olf_size,4.442229149,8.073314248
F3_P6_72,NP,M,35.74,7.47,olf_size,3.295469228,3.284376983
F3_P6_73,NP,M,36.73,7.29,olf_size,4.279407286,0.916663783
F3_P6_75,NP,F,28.91,6.07,olf_size,2.205881318,-2.901011155
F3_P6_76,NP,F,35.24,7.1,olf_size,7.616776368,21.50806754
F3_P6_77,NP,F,42.91,8.68,olf_size,6.672329393,13.2504724
F3_P6_91,NP,F,37.53,7.42,olf_size,5.185566558,5.254092231
F3_P6_92,NP,F,42.89,8.22,olf_size,2.511310627,6.709156883
F3_P6_94,NP,F,42,8.61,olf_size,2.480925112,-4.62469809
F3_P6_95,NP,F,34.06,7.02,olf_size,3.10877065,-9.929771954
F3_P6_97,NP,M,43.39,8.19,olf_size,5.239931399,4.62857598
F3_P6_98,NP,M,35.95,7.03,olf_size,3.133651994,-2.511291926
F3_P6_99,NP,F,39.34,7.7,olf_size,4.122466308,0.071040697
F3_P6_100,NP,M,39.78,7.61,olf_size,4.210028868,0.225164554
F3_P7_65,P,F,35.27,6.86,olf_size,4.906158706,2.165916694
F3_P7_66,P,M,43.89,8.9,olf_size,2.293608074,-15.48210046
F3_P7_67,P,M,41.6,8.54,olf_size,4.261795618,9.268999179
F3_P7_68,P,M,40.67,8.29,olf_size,3.76117363,-1.129602567
F3_P7_69,P,M,43.51,8.52,olf_size,2.951075015,1.028887798
F3_P7_70,P,M,44.67,9.81,olf_size,5.403852329,8.144897831
F3_P7_71,P,F,36.16,7.09,olf_size,2.746923693,-2.936750824
F3_P7_74,P,M,41.23,7.92,olf_size,3.715700321,-10.57059138
F3_P7_75,P,M,47,9.55,olf_size,5.830396295,-3.340290396
F3_P7_83,P,F,38.06,7.45,olf_size,5.902992797,0.334114071
F3_P7_84,P,F,42.17,8.37,olf_size,3.823418398,0.085762752
F3_P7_85,P,F,45.45,9.07,olf_size,3.658497733,5.94170066
F3_P7_93,P,F,39.14,7.9,olf_size,4.84957186,-0.171381796
F3_P7_94,P,M,37.67,7.24,olf_size,5.408201274,-3.520766145
F3_P7_95,P,F,40.19,7.85,olf_size,4.900810182,-6.439123962
F3_P7_96,P,F,43.85,9.27,olf_size,4.495132741,11.18458203
F3_P7_97,P,F,38.84,7.47,olf_size,4.228528822,-2.509868035
F3_P7_98,P,F,39.64,7.93,olf_size,3.822291461,-1.270408977
F3_P7_99,P,M,51.05,10.19,olf_size,5.416019865,6.274088933
F3_P8_51,NP,M,30.37,5.6,olf_size,2.814009043,-7.725513741
F3_P8_52,NP,M,36.1,6.56,olf_size,4.612921099,-2.099478494
F3_P8_58,NP,M,37.42,7.8,olf_size,5.297714642,-5.881602308
F3_P8_63,NP,M,35.71,6.43,olf_size,4.239318537,-11.1411597
F3_P8_64,NP,F,32.1,5.64,olf_size,4.850512665,-7.216113791
F3_P8_66,NP,M,32.58,6.14,olf_size,3.668524727,-1.295761803
F3_P8_69,NP,F,37.47,7.3,olf_size,5.271752872,-2.679887436
F3_P8_73,NP,M,41.37,7.95,olf_size,4.827627374,2.92939658
F3_P8_74,NP,F,31.37,5.88,olf_size,2.110477065,-14.19095468
F3_P8_75,NP,F,32.02,6.36,olf_size,3.959542815,-6.598840067
F3_P8_83,NP,F,40.91,7.62,olf_size,3.027705312,4.715161863
F3_P8_84,NP,F,35.25,7.45,olf_size,5.076565168,2.152933768
F3_P8_86,NP,F,37.69,7.33,olf_size,5.992426168,10.66625562
F3_P8_87,NP,F,40.69,7.51,olf_size,5.84666302,6.954509205
F3_P8_90,NP,F,40.23,7.7,olf_size,5.484032899,12.51624447
F3_P8_91,NP,M,43.72,8.75,olf_size,6.406630554,-0.039402054
F3_P8_92,NP,M,39.09,7.34,olf_size,4.684141765,4.388621921
F3_P8_93,NP,F,37.65,6.92,olf_size,6.871023673,9.953118589
F3_P8_96,NP,M,40.04,7.44,olf_size,4.393387053,1.327565812
F3_P8_97,NP,F,40.54,7.89,olf_size,6.081937981,2.661680786
F3_P8_98,NP,M,37.59,7.52,olf_size,6.548138164,-0.471818739
F3_P9_51,NP,F,34.14,6.82,olf_size,3.137077495,-6.172632958
F3_P9_52,NP,M,38.05,7.27,olf_size,4.890568299,-5.786442336
F3_P9_55,NP,M,34.64,6.68,olf_size,4.020830562,-4.920702592
F3_P9_57,NP,M,32.8,6.88,olf_size,4.556329737,-7.16104998
F3_P9_76,NP,M,36.2,7.35,olf_size,4.612273036,-4.733788716
F3_P9_77,NP,F,37.27,7.32,olf_size,4.78647367,-2.505446616
F3_P9_78,NP,F,52.4,10.38,olf_size,5.019192907,-1.519727289
F3_P9_79,NP,M,48,9.12,olf_size,2.493504098,-3.394207778
F3_P9_80,NP,M,50.79,10.02,olf_size,2.913168273,-13.06247453
F3_P9_83,NP,M,41.34,8.52,olf_size,5.832501359,3.504101646
F3_P9_87,NP,F,54.05,11.37,olf_size,4.656491506,10.29688593
F3_P9_88,NP,M,44.51,8.9,olf_size,4.508198215,-2.545415435
F3_P9_89,NP,M,47.66,10.01,olf_size,3.399387824,-4.499603601
F3_P9_91,NP,F,48.17,10.28,olf_size,2.485799741,-6.373525011
F3_P9_92,NP,F,60.53,13.18,olf_size,7.570285422,8.413212948
F3_P9_94,NP,F,51.8,11.4,olf_size,3.272492347,9.611089562
F3_P9_95,NP,F,55.24,11.47,olf_size,5.973105464,3.101287825
F3_P9_96,NP,F,50.54,10.81,olf_size,3.058689676,-7.884616193
F3_P9_98,NP,F,35.26,7.18,olf_size,3.110358839,-6.236924868
F3_P9_100,NP,M,37.05,7.09,olf_size,3.431826699,-2.055390093
F3_P10_79,P,M,47.19,8.92,tele_size,40.43312888,1.606240401
F3_P10_81,P,M,37.48,7.22,tele_size,27.99168901,0.753327067
F3_P10_82,P,F,44.47,9.4,tele_size,41.57309389,1.788134033
F3_P10_83,P,F,44.95,8.51,tele_size,39.34201144,4.079694623
F3_P10_84,P,F,36.91,7.93,tele_size,29.21470403,0.023653372
F3_P10_85,P,M,38.08,7.53,tele_size,31.46174908,1.941066075
F3_P10_86,P,M,34.77,7.29,tele_size,31.89013932,0.420336724
F3_P10_88,P,M,43.34,8.29,tele_size,30.20003995,1.73488973
F3_P10_89,P,F,32.37,6.44,tele_size,30.21247127,0.187788576
F3_P10_90,P,F,37.25,7.65,tele_size,32.63321188,1.54006417
F3_P10_91,P,M,35.26,7.38,tele_size,31.86504113,2.900414249
F3_P10_92,P,M,39.25,7.53,tele_size,30.66320089,0.943326507
F3_P10_94,P,F,41.55,8.19,tele_size,36.71927981,3.748057323
F3_P10_95,P,F,40.27,7.49,tele_size,38.88028967,3.969176904
F3_P10_96,P,M,37.81,7.86,tele_size,29.6612847,0.937252146
F3_P10_97,P,M,36.1,6.82,tele_size,18.38648151,-1.408876547
F3_P10_98,P,F,36.78,7.33,tele_size,27.06344987,0.53137976
F3_P10_99,P,F,44.55,9.37,tele_size,34.54886102,1.851686226
F3_P10_100,P,F,42.66,8.85,tele_size,37.94021221,0.845934345
F3_P11_58,P,F,33.23,6.6,tele_size,23.74952197,-1.658407503
F3_P11_62,P,F,33.2,6.43,tele_size,22.41949191,-0.206815783
F3_P11_66,P,M,51.18,10.71,tele_size,19.40441514,-1.961590714
F3_P11_76,P,M,47.21,8.97,tele_size,35.55943633,-0.149037463
F3_P11_77,P,M,39.29,7.81,tele_size,32.94562717,0.161158158
F3_P11_80,P,M,51.64,10.55,tele_size,36.77612066,6.051050638
F3_P11_87,P,M,40.35,8.02,tele_size,35.99100896,-0.91529156
F3_P11_88,P,M,38.05,8.11,tele_size,19.40881945,-0.898992245
F3_P11_89,P,M,34.13,7.13,tele_size,21.37546774,-0.79044596
F3_P11_90,P,F,37.76,7.95,tele_size,34.65076772,0.818492259
F3_P11_91,P,F,36.61,6.88,tele_size,36.49284962,2.960963735
F3_P11_92,P,F,39.82,8.7,tele_size,29.38001727,-0.270374138
F3_P11_93,P,F,47.84,11.2,tele_size,48.44339843,2.645333949
F3_P11_94,P,M,55.78,11.2,tele_size,49.21206063,1.859685341
F3_P11_95,P,F,35.22,7.07,tele_size,26.23184463,0.453166703
F3_P11_96,P,M,47.48,9.57,tele_size,47.60952076,2.608558043
F3_P11_97,P,M,49.32,9.75,tele_size,39.92877479,1.445442212
F3_P11_98,P,F,45.15,9.46,tele_size,35.71840887,0.042622194
F3_P11_99,P,F,37.39,7.57,tele_size,26.73367391,2.356575255
F3_P11_100,P,F,37.1,7.82,tele_size,31.50697839,0.94509587
F3_P12_51,P,F,37.13,7.16,tele_size,28.83290971,1.465044403
F3_P12_54,P,F,38.63,7.69,tele_size,23.4989948,0.010363685
F3_P12_57,P,F,46.46,9.56,tele_size,54.48186568,0.008027798
F3_P12_61,P,F,47.35,9.31,tele_size,45.97107588,0.169800805
F3_P12_63,P,F,43.3,8.4,tele_size,27.99394297,0.758228641
F3_P12_67,P,F,42.5,8.55,tele_size,35.10603524,2.855309755
F3_P12_72,P,M,39.22,7.18,tele_size,24.28997688,-0.531768938
F3_P12_74,P,F,36.79,7.38,tele_size,25.14173064,-0.697615572
F3_P12_75,P,F,37.09,7.4,tele_size,22.58544668,-0.839434833
F3_P12_76,P,M,47.59,8.9,tele_size,30.65689721,-0.881558123
F3_P12_80,P,M,49.51,9.43,tele_size,40.5507652,-2.430032275
F3_P12_88,P,F,39.77,7.67,tele_size,19.0735332,-2.775570714
F3_P12_89,P,M,40.42,7.82,tele_size,26.81699249,-0.04192053
F3_P12_91,P,M,44.65,8.66,tele_size,38.1949035,1.611463032
F3_P12_92,P,M,36.79,6.95,tele_size,15.63900609,-0.368764401
F3_P12_93,P,F,47.05,9.85,tele_size,28.15550143,-2.629074242
F3_P12_94,P,M,45.91,8.59,tele_size,26.57288795,-1.884184955
F3_P12_96,P,M,51.61,9.37,tele_size,21.9914112,-2.15280919
F3_P12_100,P,M,37.64,7.09,tele_size,26.1165743,-0.105493055
F3_P13_54,P,F,38.7,7.96,tele_size,28.57301761,-0.887725336
F3_P13_58,P,F,38.18,8.13,tele_size,24.37141244,-0.527444493
F3_P13_61,P,F,39.22,7.57,tele_size,22.21891319,-1.636976682
F3_P13_64,P,M,35.13,7.19,tele_size,30.45589146,0.570164326
F3_P13_67,P,F,30.98,6.16,tele_size,16.92796969,-1.986177854
F3_P13_69,P,M,44.64,9.51,tele_size,23.39403837,-2.072327959
F3_P13_71,P,M,43.14,9.17,tele_size,32.54315413,0.035835582
F3_P13_79,P,M,62.37,12.67,tele_size,14.7923092,-3.235298481
F3_P13_80,P,F,46.61,9.71,tele_size,39.69367597,-3.426128284
F3_P13_81,P,F,40.39,7.83,tele_size,20.11702748,-1.686016232
F3_P13_82,P,M,41.42,8.61,tele_size,20.74282997,-0.632113017
F3_P13_84,P,M,36.15,7.15,tele_size,18.89476092,-1.536280362
F3_P13_88,P,M,55.64,11.56,tele_size,32.00537909,-3.45583175
F3_P13_89,P,M,55.08,11.26,tele_size,30.66887959,-1.745272761
F3_P13_91,P,F,41.57,8.43,tele_size,18.64357077,-2.61631506
F3_P13_92,P,F,42.09,8.81,tele_size,25.99119504,0.367012237
F3_P13_94,P,F,46.96,9.69,tele_size,35.47228895,1.733803483
F3_P13_95,P,M,45.71,9.83,tele_size,29.30655829,0.319607122
F3_P13_97,P,M,39.95,8.49,tele_size,23.5988923,-0.361411042
F3_P13_100,P,M,46.98,10.08,tele_size,39.08080686,1.264210406
F3_P14_76,NP,M,43.52,9.22,tele_size,49.57919068,1.51492432
F3_P14_77,NP,M,47.02,9.47,tele_size,47.65080307,0.930681905
F3_P14_80,NP,M,42.4,8.1,tele_size,33.67262063,-1.045792953
F3_P14_82,NP,F,48.86,10.19,tele_size,44.08453582,1.807506286
F3_P14_83,NP,F,31.36,6.46,tele_size,21.96804222,0.631905909
F3_P14_84,NP,F,34.03,6.59,tele_size,25.00232855,1.29964634
F3_P14_85,NP,F,43.03,8.46,tele_size,41.3221663,-0.403301372
F3_P14_86,NP,M,49.95,10,tele_size,42.96525497,2.958095347
F3_P14_88,NP,F,42.51,8.51,tele_size,51.38469483,-0.030660098
F3_P14_89,NP,F,45.32,8.63,tele_size,37.4382413,1.002660373
F3_P14_90,NP,F,38.87,7.63,tele_size,35.91039124,1.245344437
F3_P14_91,NP,F,39.43,8.47,tele_size,42.12158932,1.6696805
F3_P14_93,NP,F,43.57,8.95,tele_size,43.60689057,0.65926896
F3_P14_94,NP,M,43.4,8.03,tele_size,35.68207681,0.23518327
F3_P14_95,NP,M,40.1,8.14,tele_size,28.10648639,-0.997046388
F3_P14_97,NP,F,42.45,8.69,tele_size,37.53102118,0.301176145
F3_P14_98,NP,M,40.7,8.03,tele_size,35.58458115,-0.588724914
F3_P14_99,NP,M,42.33,8.82,tele_size,33.05962465,0.406405796
F3_P14_100,NP,M,46.23,9.89,tele_size,35.54378693,1.470308796
F3_P5_53,NP,M,33.53,6.1,tele_size,29.73203287,-0.272208982
F3_P5_54,NP,F,27.91,5.39,tele_size,24.5135916,-0.94889579
F3_P5_56,NP,M,28.05,5.66,tele_size,51.46152876,3.637454211
F3_P5_58,NP,F,26.94,5.23,tele_size,31.49182565,1.453816385
F3_P5_61,NP,M,37.97,6.69,tele_size,28.15328295,-0.145801011
F3_P5_64,NP,M,26.05,5.77,tele_size,29.01077816,0.230331456
F3_P5_65,NP,M,34.8,6.8,tele_size,23.49130514,-2.321953923
F3_P5_78,NP,F,33.35,6.23,tele_size,24.58162086,-1.30568494
F3_P5_82,NP,F,32.48,6.89,tele_size,22.5857235,-1.799628046
F3_P5_84,NP,F,34.78,7.08,tele_size,30.92321872,-0.672736852
F3_P5_87,NP,F,37.86,7.47,tele_size,31.94400152,-0.034560379
F3_P5_89,NP,F,37.69,7.19,tele_size,32.78344968,0.504231584
F3_P5_91,NP,F,42.89,8.75,tele_size,36.20016404,2.126817353
F3_P5_93,NP,F,34.51,6.59,tele_size,27.47600832,-1.250712773
F3_P5_94,NP,M,34.11,6.53,tele_size,20.67073261,-0.884670511
F3_P5_95,NP,F,35.33,6.4,tele_size,25.69535948,-0.854927073
F3_P5_97,NP,M,39.55,7.08,tele_size,28.57735198,-1.750312383
F3_P5_98,NP,M,39.95,7.98,tele_size,37.54219323,0.561038216
F3_P5_99,NP,M,37.63,6.89,tele_size,29.08723996,-1.800876231
F3_P5_100,NP,M,36.41,6.41,tele_size,28.5961138,-0.266746615
F3_P6_52,NP,M,30.89,5.96,tele_size,22.37181702,-1.336612134
F3_P6_54,NP,F,30.6,6.35,tele_size,35.60140974,1.018875265
F3_P6_57,NP,M,31.22,6.51,tele_size,20.97359188,-0.452347428
F3_P6_58,NP,M,35.13,7.23,tele_size,17.96606302,-2.068283664
F3_P6_64,NP,M,44.26,9.49,tele_size,38.98874493,-0.854330997
F3_P6_69,NP,F,37.53,7.06,tele_size,39.35703712,-0.07937731
F3_P6_72,NP,M,35.74,7.47,tele_size,34.07542365,-1.146529935
F3_P6_73,NP,M,36.73,7.29,tele_size,27.47714913,-0.206620493
F3_P6_75,NP,F,28.91,6.07,tele_size,23.97210805,-1.932364867
F3_P6_76,NP,F,35.24,7.1,tele_size,57.12427875,3.19701388
F3_P6_77,NP,F,42.91,8.68,tele_size,48.20854109,1.911456314
F3_P6_91,NP,F,37.53,7.42,tele_size,33.69663839,0.663960099
F3_P6_92,NP,F,42.89,8.22,tele_size,43.8766665,-2.248672985
F3_P6_94,NP,F,42,8.61,tele_size,33.54866605,-2.23947722
F3_P6_95,NP,F,34.06,7.02,tele_size,21.26296162,-1.258513285
F3_P6_97,NP,M,43.39,8.19,tele_size,37.29674093,0.457711112
F3_P6_98,NP,M,35.95,7.03,tele_size,21.21464627,-1.317686572
F3_P6_99,NP,F,39.34,7.7,tele_size,41.5051592,-0.479636914
F3_P6_100,NP,M,39.78,7.61,tele_size,31.07731024,-0.411642627
F3_P7_65,P,F,35.27,6.86,tele_size,26.39930738,0.485062018
F3_P7_66,P,M,43.89,8.9,tele_size,23.73658816,-2.510848888
F3_P7_67,P,M,41.6,8.54,tele_size,33.13779244,-0.440817374
F3_P7_68,P,M,40.67,8.29,tele_size,25.70573801,-0.900079147
F3_P7_69,P,M,43.51,8.52,tele_size,39.3109713,-1.836482075
F3_P7_70,P,M,44.67,9.81,tele_size,39.82778926,0.564706154
F3_P7_71,P,F,36.16,7.09,tele_size,29.88291193,-1.713754277
F3_P7_74,P,M,41.23,7.92,tele_size,20.53960043,-0.970457531
F3_P7_75,P,M,47,9.55,tele_size,35.39180005,0.887627216
F3_P7_83,P,F,38.06,7.45,tele_size,28.98747035,1.357815463
F3_P7_84,P,F,42.17,8.37,tele_size,38.36011472,-0.904544403
F3_P7_85,P,F,45.45,9.07,tele_size,43.61619359,-1.215337654
F3_P7_93,P,F,39.14,7.9,tele_size,30.4828796,0.256363308
F3_P7_94,P,M,37.67,7.24,tele_size,25.85796167,0.880368546
F3_P7_95,P,F,40.19,7.85,tele_size,25.89155536,0.260904614
F3_P7_96,P,F,43.85,9.27,tele_size,39.96480059,-0.307545287
F3_P7_97,P,F,38.84,7.47,tele_size,27.19542258,-0.351337725
F3_P7_98,P,F,39.64,7.93,tele_size,27.62076218,-0.793153765
F3_P7_99,P,M,51.05,10.19,tele_size,41.6380015,0.29313372
F3_P8_51,NP,M,30.37,5.6,tele_size,12.7981346,-1.389168233
F3_P8_52,NP,M,36.1,6.56,tele_size,27.25879435,0.15491153
F3_P8_58,NP,M,37.42,7.8,tele_size,21.29892033,0.781000252
F3_P8_63,NP,M,35.71,6.43,tele_size,22.88938294,-0.201346426
F3_P8_64,NP,F,32.1,5.64,tele_size,23.65643669,0.570396494
F3_P8_66,NP,M,32.58,6.14,tele_size,20.60732013,-0.632938651
F3_P8_69,NP,F,37.47,7.3,tele_size,24.086852,0.752814814
F3_P8_73,NP,M,41.37,7.95,tele_size,29.33129126,0.135243253
F3_P8_74,NP,F,31.37,5.88,tele_size,14.94264653,-2.137173561
F3_P8_75,NP,F,32.02,6.36,tele_size,23.09590449,-0.317015488
F3_P8_83,NP,F,40.91,7.62,tele_size,35.6240782,-1.644221068
F3_P8_84,NP,F,35.25,7.45,tele_size,32.74729293,0.656357946
F3_P8_86,NP,F,37.69,7.33,tele_size,42.36991962,1.463703973
F3_P8_87,NP,F,40.69,7.51,tele_size,36.97594138,1.184520777
F3_P8_90,NP,F,40.23,7.7,tele_size,43.77064427,0.842348396
F3_P8_91,NP,M,43.72,8.75,tele_size,36.03504466,1.609734061
